season,yr,mnth,hr,holiday,weekday,workingday,temp,hum,windspeed,casual,cnt
1,0,1,0,0,6,0,0.24,0.81,0,3,16
1,0,1,1,0,6,0,0.22,0.8,0,8,40
1,0,1,2,0,6,0,0.22,0.8,0,5,32
1,0,1,3,0,6,0,0.24,0.75,0,3,13
1,0,1,4,0,6,0,0.24,0.75,0,0,1
1,0,1,5,0,6,0,0.24,0.75,0.0896,0,1
1,0,1,6,0,6,0,0.22,0.8,0,2,2
1,0,1,7,0,6,0,0.2,0.86,0,1,3
1,0,1,8,0,6,0,0.24,0.75,0,1,8
1,0,1,9,0,6,0,0.32,0.76,0,8,14
1,0,1,10,0,6,0,0.38,0.76,0.2537,12,36
1,0,1,11,0,6,0,0.36,0.81,0.2836,26,56
1,0,1,12,0,6,0,0.42,0.77,0.2836,29,84
1,0,1,13,0,6,0,0.46,0.72,0.2985,47,94
1,0,1,14,0,6,0,0.46,0.72,0.2836,35,106
1,0,1,15,0,6,0,0.44,0.77,0.2985,40,110
1,0,1,16,0,6,0,0.42,0.82,0.2985,41,93
1,0,1,17,0,6,0,0.44,0.82,0.2836,15,67
1,0,1,18,0,6,0,0.42,0.88,0.2537,9,35
1,0,1,19,0,6,0,0.42,0.88,0.2537,6,37
1,0,1,20,0,6,0,0.4,0.87,0.2537,11,36
1,0,1,21,0,6,0,0.4,0.87,0.194,3,34
1,0,1,22,0,6,0,0.4,0.94,0.2239,11,28
1,0,1,23,0,6,0,0.46,0.88,0.2985,15,39
1,0,1,0,0,0,0,0.46,0.88,0.2985,4,17
1,0,1,1,0,0,0,0.44,0.94,0.2537,1,17
1,0,1,2,0,0,0,0.42,1,0.2836,1,9
1,0,1,3,0,0,0,0.46,0.94,0.194,2,6
1,0,1,4,0,0,0,0.46,0.94,0.194,2,3
1,0,1,6,0,0,0,0.42,0.77,0.2985,0,2
1,0,1,7,0,0,0,0.4,0.76,0.194,0,1
1,0,1,8,0,0,0,0.4,0.71,0.2239,0,8
1,0,1,9,0,0,0,0.38,0.76,0.2239,1,20
1,0,1,10,0,0,0,0.36,0.81,0.2239,7,53
1,0,1,11,0,0,0,0.36,0.71,0.2537,16,70
1,0,1,12,0,0,0,0.36,0.66,0.2985,20,93
1,0,1,13,0,0,0,0.36,0.66,0.1343,11,75
1,0,1,14,0,0,0,0.36,0.76,0.194,4,59
1,0,1,15,0,0,0,0.34,0.81,0.1642,19,74
1,0,1,16,0,0,0,0.34,0.71,0.1642,9,76
1,0,1,17,0,0,0,0.34,0.57,0.194,7,65
1,0,1,18,0,0,0,0.36,0.46,0.3284,10,53
1,0,1,19,0,0,0,0.32,0.42,0.4478,1,30
1,0,1,20,0,0,0,0.3,0.39,0.3582,5,22
1,0,1,21,0,0,0,0.26,0.44,0.3284,11,31
1,0,1,22,0,0,0,0.24,0.44,0.2985,0,9
1,0,1,23,0,0,0,0.22,0.47,0.1642,0,8
1,0,1,0,0,1,1,0.22,0.44,0.3582,0,5
1,0,1,1,0,1,1,0.2,0.44,0.4179,0,2
1,0,1,4,0,1,1,0.16,0.47,0.3881,0,1
1,0,1,5,0,1,1,0.16,0.47,0.2836,0,3
1,0,1,6,0,1,1,0.14,0.5,0.3881,0,30
1,0,1,7,0,1,1,0.14,0.5,0.194,1,64
1,0,1,8,0,1,1,0.14,0.5,0.2836,1,154
1,0,1,9,0,1,1,0.16,0.43,0.3881,7,88
1,0,1,10,0,1,1,0.18,0.43,0.2537,11,44
1,0,1,11,0,1,1,0.2,0.4,0.3284,10,51
1,0,1,12,0,1,1,0.22,0.35,0.2985,13,61
1,0,1,13,0,1,1,0.24,0.35,0.2836,8,61
1,0,1,14,0,1,1,0.26,0.3,0.2836,11,77
1,0,1,15,0,1,1,0.26,0.3,0.2537,14,72
1,0,1,16,0,1,1,0.26,0.3,0.2537,9,76
1,0,1,17,0,1,1,0.24,0.3,0.2239,11,157
1,0,1,18,0,1,1,0.24,0.32,0.1045,9,157
1,0,1,19,0,1,1,0.2,0.47,0,8,110
1,0,1,20,0,1,1,0.2,0.47,0.1045,3,52
1,0,1,21,0,1,1,0.18,0.64,0.1343,3,52
1,0,1,22,0,1,1,0.14,0.69,0.1343,0,20
1,0,1,23,0,1,1,0.18,0.55,0.1045,1,12
1,0,1,0,0,2,1,0.16,0.55,0.1045,0,5
